date,close,open,high,low,volume,change,sequence,sq
2014年5月29日,"2,040.60","2,051.84","2,057.08","2,039.24",8.12B,-0.47%,392.00,98.00
2014年5月30日,"2,039.21","2,040.39","2,046.96","2,031.37",7.51B,-0.07%,391.00,99.00
2014年6月3日,"2,038.31","2,039.20","2,049.58","2,037.30",7.16B,-0.04%,390.00,100.00
2014年6月4日,"2,024.83","2,037.99","2,038.48","2,012.91",7.24B,-0.66%,389.00,101.00
2014年6月5日,"2,040.88","2,019.44","2,041.70","2,016.17",6.79B,0.79%,388.00,102.00
2014年6月6日,"2,029.96","2,040.86","2,041.57","2,022.16",6.60B,-0.54%,387.00,103.00
2014年6月9日,"2,030.50","2,024.94","2,045.26","2,023.20",6.48B,0.03%,386.00,104.00
2014年6月10日,"2,052.53","2,033.21","2,052.77","2,026.39",7.96B,1.08%,385.00,105.00
2014年6月11日,"2,054.95","2,049.13","2,056.63","2,045.41",7.44B,0.12%,384.00,106.00
2014年6月12日,"2,051.71","2,051.58","2,057.10","2,045.96",8.17B,-0.16%,383.00,107.00
2014年6月13日,"2,070.71","2,049.21","2,073.60","2,048.62",9.72B,0.93%,382.00,108.00
2014年6月16日,"2,085.98","2,070.70","2,087.32","2,069.44",9.59B,0.74%,381.00,109.00
2014年6月17日,"2,066.70","2,080.48","2,080.48","2,064.67",8.78B,-0.92%,380.00,110.00
2014年6月18日,"2,055.52","2,064.38","2,066.91","2,051.75",8.72B,-0.54%,379.00,111.00
2014年6月19日,"2,023.73","2,054.62","2,059.25","2,017.65",9.29B,-1.55%,378.00,112.00
2014年6月20日,"2,026.67","2,013.41","2,027.15","2,010.53",6.72B,0.15%,377.00,113.00
2014年6月23日,"2,024.37","2,026.23","2,033.32","2,022.92",7.05B,-0.11%,376.00,114.00
2014年6月24日,"2,033.93","2,023.70","2,034.71","2,021.75",7.12B,0.47%,375.00,115.00
2014年6月25日,"2,025.50","2,030.43","2,030.62","2,018.36",6.75B,-0.41%,374.00,116.00
2014年6月26日,"2,038.68","2,025.66","2,040.75","2,025.31",8.10B,0.65%,373.00,117.00
2014年6月27日,"2,036.51","2,031.91","2,043.98","2,025.07",9.76B,-0.11%,372.00,118.00
2014年6月30日,"2,048.33","2,038.61","2,052.34","2,038.53",9.67B,0.58%,371.00,119.00
2014年7月1日,"2,050.38","2,051.22","2,052.63","2,041.94",9.85B,0.10%,370.00,120.00
2014年7月2日,"2,059.42","2,049.48","2,060.60","2,044.04",10.96B,0.44%,369.00,121.00
2014年7月3日,"2,063.23","2,051.63","2,066.64","2,048.08",12.29B,0.19%,368.00,122.00
2014年7月4日,"2,059.37","2,062.36","2,065.08","2,054.22",10.50B,-0.19%,367.00,123.00
2014年7月7日,"2,059.93","2,058.13","2,064.04","2,050.89",9.72B,0.03%,366.00,124.00
2014年7月8日,"2,064.02","2,058.13","2,064.43","2,047.20",9.51B,0.20%,365.00,125.00
2014年7月9日,"2,038.61","2,061.63","2,062.47","2,037.60",11.33B,-1.23%,364.00,126.00
2014年7月10日,"2,038.34","2,036.54","2,045.53","2,034.96",9.79B,-0.01%,363.00,127.00
2014年7月11日,"2,046.96","2,033.87","2,051.74","2,033.00",10.51B,0.42%,362.00,128.00
2014年7月14日,"2,066.65","2,047.74","2,067.34","2,044.90",11.51B,0.96%,361.00,129.00
2014年7月15日,"2,070.36","2,065.90","2,070.36","2,059.68",12.45B,0.18%,360.00,130.00
2014年7月16日,"2,067.28","2,068.34","2,075.49","2,061.57",13.71B,-0.15%,359.00,131.00
2014年7月17日,"2,055.59","2,062.89","2,062.89","2,046.19",10.45B,-0.57%,358.00,132.00
2014年7月18日,"2,059.07","2,047.50","2,067.23","2,046.00",10.66B,0.17%,357.00,133.00
2014年7月21日,"2,054.48","2,057.77","2,061.82","2,049.18",9.39B,-0.22%,356.00,134.00
2014年7月22日,"2,075.48","2,050.50","2,078.09","2,049.81",12.32B,1.02%,355.00,135.00
2014年7月23日,"2,078.49","2,074.20","2,088.19","2,072.23",13.73B,0.15%,354.00,136.00
2014年7月24日,"2,105.06","2,079.63","2,107.95","2,079.63",16.57B,1.28%,353.00,137.00
2014年7月25日,"2,126.61","2,108.71","2,127.22","2,106.71",14.25B,1.02%,352.00,138.00
2014年7月28日,"2,177.95","2,135.25","2,181.50","2,135.25",23.62B,2.41%,351.00,139.00
2014年7月29日,"2,183.19","2,179.83","2,193.52","2,172.10",20.03B,0.24%,350.00,140.00
2014年7月30日,"2,181.24","2,178.18","2,194.57","2,177.24",18.49B,-0.09%,349.00,141.00
2014年7月31日,"2,201.56","2,179.54","2,202.13","2,173.90",16.47B,0.93%,348.00,142.00
2014年8月1日,"2,185.30","2,194.17","2,218.79","2,184.64",19.15B,-0.74%,347.00,143.00
2014年8月4日,"2,223.33","2,190.04","2,224.07","2,186.92",17.41B,1.74%,346.00,144.00
2014年8月5日,"2,219.95","2,224.63","2,226.84","2,206.85",17.54B,-0.15%,345.00,145.00
2014年8月6日,"2,217.46","2,212.00","2,223.89","2,192.99",17.77B,-0.11%,344.00,146.00
2014年8月7日,"2,187.67","2,216.66","2,220.57","2,185.76",17.52B,-1.34%,343.00,147.00
2014年8月8日,"2,194.42","2,188.71","2,199.58","2,180.60",13.52B,0.31%,342.00,148.00
2014年8月11日,"2,224.65","2,199.43","2,225.96","2,198.31",15.06B,1.38%,341.00,149.00
2014年8月12日,"2,221.59","2,222.70","2,222.98","2,210.00",15.48B,-0.14%,340.00,150.00
2014年8月13日,"2,222.88","2,223.05","2,230.99","2,202.44",17.81B,0.06%,339.00,151.00
2014年8月14日,"2,206.47","2,221.54","2,230.89","2,204.38",17.01B,-0.74%,338.00,152.00
2014年8月15日,"2,226.73","2,207.23","2,230.87","2,203.24",15.00B,0.92%,337.00,153.00
2014年8月18日,"2,239.47","2,229.80","2,242.04","2,228.13",16.39B,0.57%,336.00,154.00
2014年8月19日,"2,245.33","2,242.34","2,246.02","2,227.92",17.77B,0.26%,335.00,155.00
2014年8月20日,"2,240.21","2,241.66","2,248.94","2,233.89",16.77B,-0.23%,334.00,156.00
